algorithm,noise_type,noise_level,test_acc,acc_drop
logistic_regression,gaussian,0.05,0.9181585677749361,-0.002192181220314282
logistic_regression,gaussian,0.1,0.9123127511874315,0.003653635367190322
logistic_regression,gaussian,0.2,0.8878333942272562,0.028132992327365658
logistic_regression,gaussian,0.3,0.8491048593350383,0.0668615272195835
logistic_regression,uniform,0.05,0.9141395688710267,0.001826817683595161
logistic_regression,uniform,0.1,0.9134088417975886,0.002557544757033181
logistic_regression,uniform,0.2,0.9086591158202412,0.007307270734380644
logistic_regression,uniform,0.3,0.8907563025210085,0.025210084033613356
logistic_regression,salt_pepper,0.01,0.8732188527584948,0.04274753379612706
logistic_regression,salt_pepper,0.02,0.824990865911582,0.09097552064303982
logistic_regression,salt_pepper,0.03,0.7895506028498356,0.12641578370478623
logistic_regression,salt_pepper,0.05,0.7120935330654,0.2038728534892218
knn,gaussian,0.05,0.9214468396054074,0.001461454146876151
knn,gaussian,0.1,0.9145049324077457,0.008403361344537896
knn,gaussian,0.2,0.9028132992327366,0.020094994519546994
knn,gaussian,0.3,0.886737303617099,0.036170990135184544
knn,uniform,0.05,0.9207161125319693,0.002192181220314282
knn,uniform,0.1,0.9199853854585313,0.002922908293752302
knn,uniform,0.2,0.9130434782608695,0.009864815491414047
knn,uniform,0.3,0.9053708439897699,0.0175374497625137
knn,salt_pepper,0.01,0.8808914870295944,0.04201680672268915
knn,salt_pepper,0.02,0.8407014979905005,0.08220679576178302
knn,salt_pepper,0.03,0.8048958713920351,0.11801242236024845
knn,salt_pepper,0.05,0.7223237120935331,0.20058458165875048
svm,gaussian,0.05,0.92802338326635,0.001461454146876151
svm,gaussian,0.1,0.9210814760686884,0.008403361344537785
svm,gaussian,0.2,0.9148702959444648,0.0146145414687614
svm,gaussian,0.3,0.8838143953233467,0.04567044208987947
svm,uniform,0.05,0.9291194738765072,0.00036536353671901
svm,uniform,0.1,0.9232736572890026,0.006211180124223614
svm,uniform,0.2,0.9192546583850931,0.010230179028133057
svm,uniform,0.3,0.9104859335038363,0.018998903909389853
svm,salt_pepper,0.01,0.8797953964194374,0.0496894409937888
svm,salt_pepper,0.02,0.8363171355498721,0.0931677018633541
svm,salt_pepper,0.03,0.793934965290464,0.13554987212276215
svm,salt_pepper,0.05,0.7186700767263428,0.21081476068688343
random_forest,gaussian,0.05,0.9229082937522836,0.001826817683595161
random_forest,gaussian,0.1,0.917427840701498,0.007307270734380755
random_forest,gaussian,0.2,0.8907563025210085,0.03397880891487026
random_forest,gaussian,0.3,0.8534892217756668,0.07124588966021195
random_forest,uniform,0.05,0.9210814760686884,0.003653635367190322
random_forest,uniform,0.1,0.917427840701498,0.007307270734380755
random_forest,uniform,0.2,0.91669711362806,0.008037997807818775
random_forest,uniform,0.3,0.9013518450858604,0.023383266350018306
random_forest,salt_pepper,0.01,0.9240043843624406,0.000730727073438131
random_forest,salt_pepper,0.02,0.917062477164779,0.007672634271099765
random_forest,salt_pepper,0.03,0.9108512970405553,0.01388381439532338
random_forest,salt_pepper,0.05,0.9061015710632079,0.018633540372670843
