feature,mutual_information,selected
Area,1.0359653602645338,True
EquivDiameter,1.035864963729371,False
ConvexArea,1.033358236519281,False
Perimeter,1.0054984305667767,True
MajorAxisLength,0.9907777045633548,True
ShapeFactor2,0.9522226823152498,True
MinorAxisLength,0.928172088695363,False
ShapeFactor1,0.927181354871045,True
AreaPerimeterRatio,0.8798039924940164,False
RoundnessCompactness,0.8466822654273805,True
Compactness,0.832052615148013,True
ShapeFactor3,0.8314557764397486,False
EquivDiameterRatio,0.8280355972281728,True
AspectRation,0.8189325791872251,False
Eccentricity,0.8188686438561017,False
AxisRatio,0.8151212423312535,True
roundness,0.7916192979214041,True
ShapeFactor4,0.3679614927245849,True
ConvexAreaRatio,0.23354551553890612,True
Solidity,0.22274005845934264,False
Extent,0.20480653864771137,True
